recipeId,stepNumber,instruction,approxMinutes
recipe_chicken_curry,1,Heat oil and sauté onions until golden.,5
recipe_chicken_curry,2,Add tomatoes and cook until soft.,7
recipe_chicken_curry,3,Add spices and cook for 5 minutes.,5
recipe_choco_brownie,1,Step 1 short instruction.,5
recipe_choco_brownie,2,Step 2 short instruction.,5
recipe_dal_tadka,1,Heat oil and sauté onions until golden.,5
recipe_dal_tadka,2,Add tomatoes and cook until soft.,7
recipe_dal_tadka,3,Add spices and cook for 5 minutes.,5
recipe_fried_rice,1,Heat oil and sauté onions until golden.,5
recipe_fried_rice,2,Add tomatoes and cook until soft.,7
recipe_fried_rice,3,Add spices and cook for 5 minutes.,5
recipe_garlic_bread,1,Heat oil and sauté onions until golden.,5
recipe_garlic_bread,2,Add tomatoes and cook until soft.,7
recipe_garlic_bread,3,Add spices and cook for 5 minutes.,5
recipe_grilled_sandwich,1,Heat oil and sauté onions until golden.,5
recipe_grilled_sandwich,2,Add tomatoes and cook until soft.,7
recipe_grilled_sandwich,3,Add spices and cook for 5 minutes.,5
recipe_lemon_rice,1,Heat oil and sauté onions until golden.,5
recipe_lemon_rice,2,Add tomatoes and cook until soft.,7
recipe_lemon_rice,3,Add spices and cook for 5 minutes.,5
recipe_masala_omelette,1,Step 1 short instruction.,5
recipe_masala_omelette,2,Step 2 short instruction.,5
recipe_pancakes,1,Heat oil and sauté onions until golden.,5
recipe_pancakes,2,Add tomatoes and cook until soft.,7
recipe_pancakes,3,Add spices and cook for 5 minutes.,5
recipe_paneer_butter_masala,1,Step 1 short instruction.,5
recipe_paneer_butter_masala,2,Step 2 short instruction.,5
recipe_salad_bowl,1,Heat oil and sauté onions until golden.,5
recipe_salad_bowl,2,Add tomatoes and cook until soft.,7
recipe_salad_bowl,3,Add spices and cook for 5 minutes.,5
recipe_smoothie,1,Heat oil and sauté onions until golden.,5
recipe_smoothie,2,Add tomatoes and cook until soft.,7
recipe_smoothie,3,Add spices and cook for 5 minutes.,5
recipe_surmai_fry,1,Clean and pat dry the fish steaks.,5
recipe_surmai_fry,2,"Marinate fish with ginger-garlic paste, turmeric, chili powder, garam masala, lemon juice, and salt.",5
recipe_surmai_fry,3,Let marinate for 30 min in refrigerator.,30
recipe_surmai_fry,4,Heat oil in a pan over medium flame.,3
recipe_surmai_fry,5,"Shallow fry fish until golden brown and cooked through, ~8-10 min per side.",15
recipe_surmai_fry,6,Garnish with coriander and serve hot.,2
recipe_tomato_soup,1,Heat oil and sauté onions until golden.,5
recipe_tomato_soup,2,Add tomatoes and cook until soft.,7
recipe_tomato_soup,3,Add spices and cook for 5 minutes.,5
recipe_veg_maggi,1,Heat oil and sauté onions until golden.,5
recipe_veg_maggi,2,Add tomatoes and cook until soft.,7
recipe_veg_maggi,3,Add spices and cook for 5 minutes.,5
recipe_veg_pulao,1,Step 1 short instruction.,5
recipe_veg_pulao,2,Step 2 short instruction.,5
recipe_veg_wrap,1,Heat oil and sauté onions until golden.,5
recipe_veg_wrap,2,Add tomatoes and cook until soft.,7
recipe_veg_wrap,3,Add spices and cook for 5 minutes.,5
